,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
1049,23210,6678.0,5,0,0,1,0.0,1,0,0,4939,4189,6028,3015,301,0,0,5.7163615,30.649122
1050,309328,10696.0,11,0,0,1,2.0,2,0,62049,12762,33243,49174,5351,52349,4777,0,-18.325768,-46.263165
1051,160262,11236.0,11,0,0,4,34.5,2,0,12117,23817,30734,18433,3600,16318,24499,0,-39.040054,-29.372551
1052,286137,10920.0,7,11,0,4,47.5,2,0,18678,29662,61138,29075,13047,20457,32891,0,-19.20491,-41.96057
1053,11648,10948.0,12,0,0,1,0.0,2,0,97,67,44,110,0,94,5101,0,22.036366,45.786587
1054,1097157,7300.0,6,64,2,6,59.0,2,2,47694,41155,85050,95752,115972,57879,0,0,30.009827,-45.561687
1055,123736,8532.0,6,0,0,3,0.0,2,0,11170,12175,23796,16856,6567,11939,36290,0,-48.741135,-10.009433
1056,3179201,10412.0,11,24,0,4,15.0,2,0,36206,31934,33571,39217,37804,76009,2421,0,40.61595,-34.99628
1057,0,0.0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,36.921707,71.12444
1058,1252257,6360.0,8,48,0,1,27.0,2,0,1077526,38484,58402,31805,36650,151,0,0,25.520123,-25.172539
1059,216577,6359.0,6,0,0,1,11.0,2,0,44330,44175,93078,9616,19902,326,0,0,-15.706919,-26.413572
1060,27462,6810.0,5,0,0,1,0.0,0,0,1843,4365,4491,3082,1034,199,0,0,2.145851,26.98475
1061,28613,11244.0,11,0,0,1,0.0,2,0,1279,2120,3195,4509,1869,3084,6201,0,-9.031598,41.643623
1062,104029,4093.0,4,0,0,0,17.0,2,0,19510,28351,42211,883,0,0,0,0,-26.769121,-4.375065
1063,678705,9639.0,11,54,0,3,0.0,2,0,4169,2583,8713,8404,15753,12406,7611,0,12.798281,-65.95075
1064,25266,900.0,2,0,0,0,0.0,2,0,15307,665,0,0,0,0,0,0,6.147693,5.797157
1065,10654340,12240.0,25,36,2,4,4.5,2,1,689696,31840,143868,33030,65942,4788,9665934,0,50.88598,-31.381212
1066,1815276,10450.0,1,0,0,0,0.0,0,0,0,0,0,0,324,1108,1272,0,35.9984,-40.300705
1067,123408,11749.0,10,257,0,3,0.0,0,0,40825,9084,20954,5138,23254,13423,7237,0,-45.791523,-17.9154
1068,52166252,11007.0,44,159,1,1,209.0,2,1,51434829,197175,79233,88767,142381,5206,130267,0,53.043415,-23.75701
1069,18073383,11535.0,8,0,0,1,0.0,2,0,197,1798,2428,1386,2083,416,6904,0,49.028496,-29.2444
1070,338363,9539.0,7,35,0,11,192.0,1,0,26194,47465,62337,39693,68935,83086,3653,0,-10.273152,-48.198883
1071,158924,7616.0,6,39,2,3,0.0,2,1,4901,17182,39801,41875,27540,21025,0,0,-28.723167,-22.09357
1072,1933311,7972.0,9,171,2,9,0.0,2,1,1618936,66723,26340,35920,56313,127953,0,0,28.50234,-24.990244
1073,98849,10784.0,21,116,0,4,0.0,2,0,28167,18290,6837,4387,11573,13304,11348,0,-20.937288,-3.9098792
1074,59597,10508.6669921875,11,0,0,1,0.0,2,0,9009,5695,6771,4034,2811,6640,6551,0,-32.21658,19.356928
