,timeOnPage,maxDepth,scrollState,brightnessWeight,showHilbert,algorithm,selectedArtwork,loadStatus,showHilbertDetails,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,mobile,x,y
138,311055,7701.0,6,18,0,4,56.0,2,0,16367,74357,39138,45662,67456,59977,0,0,9.477453,1.3461059
139,152110,6713.0,5,0,0,1,16.5,0,0,5464,71028,55281,7722,4679,531,0,0,8.332813,-2.9451118
140,8095,12191.0,10,0,0,2,4.0,1,0,1035,185,298,200,216,350,3700,0,2.0999718,2.5833738
141,508621,10906.0,81,63,2,4,123.0,2,2,40727,64485,77894,72789,106085,124077,7318,0,9.526649,2.2870998
142,216804,11333.0,19,0,0,1,0.0,2,0,20379,7628,7969,8073,4231,2938,7156,0,1.9456201,-1.6795201
143,574590,8424.544921875,6,286,2,8,161.0,2,1,1321,45128,84016,46998,233263,51866,107782,0,10.889212,2.739542
144,59848565,11896.0,15,137,2,1,4.0,2,2,11898,4296,6904,59631543,48643,124363,11918,0,12.991393,-1.7238176
145,427896,11273.0,4,29,0,4,27.0,0,0,513,33684,138738,35193,43763,91294,83855,0,7.102989,2.6599746
146,18926,4573.0,7,0,0,0,0.0,2,0,184,3829,9854,2349,0,0,0,0,8.608532,-1.8828133
147,284140,770.0,2,0,0,0,2.0,2,0,593,0,0,0,0,0,0,0,-0.8074031,-0.45808432
148,71143,7520.0,6,0,0,1,0.0,2,0,3045,6402,3290,6595,4218,2774,0,0,3.113043,-0.7042087
149,106511,3983.0,7,0,0,0,97.0,2,0,8190,22233,58955,575,0,0,0,0,9.444907,-2.7883463
150,422,4652.0,3,0,0,0,0.0,0,0,0,0,0,310,0,0,0,0,3.92778,-12.034935
151,39201,4589.0,4,0,0,0,40.0,2,0,930,11627,18239,3509,0,0,0,0,8.6849375,-2.5019276
152,480880,9991.0,6,51,0,3,21.0,2,0,23363,25611,39597,15907,157502,65165,146087,0,9.346132,3.48486
153,98266,11498.0,13,0,0,1,0.0,0,0,3572,51708,16111,9041,5011,4234,3694,0,7.9281,-3.572782
154,43862,7502.0,5,0,0,3,0.0,1,0,1290,4354,3569,3135,1588,24535,0,0,9.209355,5.670439
155,54593,11375.5,11,0,0,1,22.0,2,0,973,3781,3207,1913,1572,2196,7538,0,3.6809816,0.561868
156,937237,8091.81787109375,6,69,4,17,153.0,2,3,210869,60384,97000,78536,216288,199286,63000,0,8.587016,2.0786912
157,36680,10866.0,14,0,0,1,0.0,2,0,950,5485,8899,2300,2451,2601,3717,0,5.8296175,0.6291784
158,220933,10089.0,13,143,0,3,29.0,2,0,8137,31863,37683,16086,45743,60268,15945,0,9.366088,2.8314264
159,191292,11723.0,11,9,0,6,32.0,2,0,10152,11591,24535,13243,20632,43963,60772,0,6.4103003,4.5295
160,104874,10802.0,10,10,2,10,0.0,1,1,6166,15961,10707,8123,11276,18266,31049,0,6.0993013,3.7582662
161,277742,11651.0,6,23,0,7,45.0,2,0,20152,21640,26071,15327,29309,67972,90585,0,6.3837714,4.7917438
162,205427,8035.0,6,137,2,3,8.0,2,1,4362,3797,88457,28366,23056,28731,9451,0,9.08445,-1.058549
163,40008,7210.0,6,0,0,1,0.0,2,0,8895,4756,4868,1799,1200,2925,0,0,5.5857177,-1.4282837
164,802331,9828.900390625,6,73,2,7,67.0,2,2,26897,88707,94577,50727,132502,156002,242093,0,6.415474,4.329679
165,79085,10610.400390625,11,0,0,1,0.0,2,0,990,1722,2224,2117,1762,2130,1720,0,2.9468203,-0.38046548
166,429831,9699.2001953125,6,55,2,1,66.0,2,1,2357,21230,107385,87658,112555,62571,29127,0,9.980594,1.350497
167,32276,7750.0,6,0,0,1,0.0,2,0,2503,8555,2371,1530,581,595,0,0,5.480512,-1.9902805
168,872739,4428.0,4,0,0,0,20.0,2,0,382,27960,29839,6111,0,0,0,0,1.0081649,-0.58101666
169,83608,10125.0,11,0,0,9,16.0,2,0,1525,5021,5424,2244,1857,55276,6331,0,9.474184,6.357463
170,94946,5200.0,7,0,0,0,0.0,2,0,812,4877,501,555,1325,0,0,0,1.8323802,-1.1145505
171,1998085,10999.0,6,59,0,3,417.0,2,0,32815,155646,115049,40045,98213,76576,114851,0,2.091403,0.14723635
172,7070523,4673.0,6,0,0,0,16.0,2,0,2108736,4459079,84611,392297,0,0,0,0,7.1845207,-5.899341
173,0,0.0,3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,17.657553,-2.3642046
174,210538,10294.6669921875,11,0,0,1,0.0,2,0,18043,18928,17940,5200,3858,6417,5879,0,2.7871747,-0.8320971
175,866212,10854.0,11,11,2,4,7.0,2,1,48425,104774,156171,91035,124687,185201,67963,0,8.484772,2.5024865
176,150197,10368.0,11,0,0,1,7.0,2,0,72272,4558,7055,3787,2981,5007,3758,0,3.3449936,-4.7738805
177,62593,7938.0,10,14,2,4,2.0,2,1,11273,4066,8738,5260,9371,16040,0,0,7.69927,1.8565422
178,193280,4214.0,6,0,0,0,4.0,2,0,23171,31883,70950,56252,0,0,0,0,9.476046,-1.2791203
179,47856,6854.0,6,0,0,1,7.0,2,0,5176,21233,5392,2554,1936,1053,0,0,7.454642,-3.4041245
180,323432,12356.0,9,0,0,16,77.0,1,0,252691,4553,4797,2050,1071,3032,53222,0,3.0455616,-7.5301147
181,63295,12356.0,11,0,0,5,35.0,2,0,569,10171,20443,3892,1790,15147,6919,0,7.1642447,1.5400896
182,27156,7300.0,5,0,0,1,0.0,1,0,334,6623,4914,1562,1863,639,0,0,6.0813913,-0.7881659
183,1072931,11172.0,17,0,0,3,0.0,2,0,4656,907220,12451,9690,2826,5744,20033,0,9.628219,-5.9503045
184,154729,9961.0,10,17,0,5,0.0,1,0,368,433,612,454,14351,89668,47467,0,7.909761,5.9396243
185,40649,2709.0,3,0,0,0,0.0,2,0,1798,23998,1663,0,0,0,0,0,8.39308,-4.63828
186,1838263,12400.0,12,56,2,3,100.0,2,1,201502,281932,88915,2284,347765,135957,607620,0,5.842146,4.1228786
187,364863,9180.0,6,41,2,4,25.0,2,1,2962,22600,28181,34265,26115,32457,205758,0,4.3639774,5.8706794
188,13800,636.0,2,0,0,0,0.0,2,0,3148,326,0,0,0,0,0,0,2.4013326,-3.2024803
189,173206,4045.60009765625,4,0,0,0,66.0,2,0,29587,47595,85537,741,0,0,0,0,8.737206,-2.8834753
190,9702659,10782.0,23,0,0,1,4.0,2,0,9525262,26567,50342,29768,5091,8378,50651,0,2.4299393,-9.676174
191,17607,2599.0,5,0,0,0,0.0,2,0,5500,6463,486,0,0,0,0,0,5.8734446,-4.319526
192,48087,6478.0,6,8,0,1,0.0,2,0,2297,2881,10770,5526,6916,202,0,0,7.403882,0.00936745
193,10530068,10544.0,11,37,0,3,7.0,2,0,9576,5222,11444,6840,16441,27407,4182,0,-0.535348,0.5285329
194,369903,10391.0,13,0,0,1,70.0,2,0,14145,32022,32714,7441,4431,152465,116626,0,7.208185,5.5262403
195,14429,6430.0,9,16,0,0,1.0,2,0,1332,1201,1816,1517,1084,899,0,0,4.9199743,0.28438693
196,135739,7884.0,8,40,2,8,10.0,2,2,29219,19254,30397,12513,2710,26659,0,0,7.655087,0.6802275
197,171404,11680.7998046875,15,20,2,1,144.0,2,1,29005,29567,3006,4346,64660,20694,14735,0,10.826445,2.076668
198,6247,1532.0,2,0,0,0,0.0,0,0,1296,2298,0,0,0,0,0,0,6.016474,-3.5074584
199,11073802,6796.0,12,31,0,1,0.0,0,0,11039443,8608,8537,3114,10921,2958,0,0,2.0403996,-10.040617
200,28327,6720.0,6,94,0,1,0.0,2,0,1194,3387,2926,2843,12388,836,0,0,10.820951,1.6744063
201,49825,12292.0,6,55,0,3,0.0,2,0,1212,3783,1185,2383,1066,17005,14943,0,6.8387837,4.810716
202,7250,8401.0,10,0,0,5,1.0,1,0,87,1968,498,164,1101,744,905,0,2.542288,2.0524013
203,195546,7920.7998046875,6,11,2,5,0.0,2,1,4966,8941,8560,4076,18469,12501,0,0,2.307543,0.2561708
204,21996,5907.0,4,0,0,0,0.0,1,0,540,4718,9501,2282,739,0,0,0,8.161344,-1.6750373
205,255538,10799.0,17,0,0,1,0.0,2,0,8427,7327,11319,6962,9875,10031,9113,0,1.7401143,0.01809872
206,1312328,12934.0,35,59,2,6,70.0,2,1,63907,56717,119394,71753,7455,342288,618642,0,5.737469,5.769653
207,39087,9596.0,11,0,0,5,1.0,2,0,418,4050,3185,4878,1917,14067,5328,0,7.7484436,4.6699085
208,14287,10349.5,8,0,0,0,0.0,2,0,2701,725,33,0,315,154,10237,0,2.7144413,3.6781633
209,189745,6702.0,5,0,2,1,28.0,1,1,2037,1204,1546,935,903,181755,0,0,10.204785,7.949358
210,354647,12522.5,10,146,2,1,531.0,0,1,3362,1950,8737,1835,16052,294470,23152,0,9.979371,7.226028
211,119623,10100.0,11,0,0,1,0.0,2,0,1309,25400,13467,9799,15669,12249,34584,0,6.0305276,3.5420299
212,70234,6374.0,6,0,0,1,0.0,2,0,7459,13253,15451,9959,8857,1233,0,0,8.274863,-0.55780333
213,581927,7580.0,8,181,0,1,8.0,2,0,21519,43753,48731,70422,1373,58075,0,0,2.8381653,0.118525825
214,35019,6049.0,8,0,0,0,21.0,2,0,165,1653,1884,7471,1036,0,0,0,3.9029868,-0.6173615
215,85000,7294.0,6,0,0,1,24.0,2,0,11937,12604,9063,24717,20925,1525,0,0,10.198227,0.0077113896
216,38873,7595.0,6,0,0,1,0.0,2,0,552,8304,8469,5980,1287,244,0,0,6.901235,-0.83673555
217,173493,12700.0,11,0,0,5,0.0,2,0,1064,10355,15456,3838,8663,10715,46252,0,2.6118717,1.574029
218,9498,12932.0,11,0,0,1,3.0,2,0,1041,573,808,343,219,482,2874,0,2.2295547,2.3697255
219,37470,13040.0,11,14,2,4,6.0,2,1,0,266,2109,191,621,6183,22762,0,3.4683516,4.7020893
220,48356,8562.0,5,16,2,3,5.0,1,1,651,3335,5764,4483,2017,8090,22142,0,4.766555,4.565515
221,788986,6309.0,11,0,0,0,6.0,2,0,10910,17039,14854,3863,1260,0,0,0,0.69191813,-0.6808992
222,47803,10996.0,10,0,0,1,0.0,1,0,624,5972,7523,4865,4144,8987,10328,0,5.8823485,2.463313
223,20858,10743.0,11,0,0,1,9.0,2,0,1762,1029,1354,415,311,811,13351,0,2.8964257,3.927773
224,75658,10657.0,11,0,0,1,9.0,2,0,4739,11065,8702,9246,8971,6530,19343,0,5.973686,3.1610644
225,116658,6719.0,5,35,0,1,123.0,1,0,3189,22932,1121,1652,84674,606,0,0,12.694926,2.3823333
226,71782,6904.0,6,14,0,3,0.0,2,0,47,4315,15260,6376,24998,14951,0,0,10.433459,2.1628432
227,65689,10457.0,6,0,0,1,7.0,2,0,732,8586,3248,35637,2462,1586,7934,0,11.192569,-1.0123193
228,678317,11421.599609375,13,53,2,7,13.0,0,2,1329,1911,56616,60095,386217,38222,130744,0,11.672287,2.7168329
