,timeOnPage,userAgent,maxDepth,step,demoNumOn,beatNumThreeFour,beatNumSixEight,beatNumDefault,beatHoverThree,beatHoverSix,emphasizeThreeFour,emphasizeSixEight,threeFourOn,sixEightOn,playLinear,altThree,altSix,exampleSix,exampleThree,altSix.1,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,x,y
1216,12386,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) QtWebEngine/5.11.1 Chrome/65.0.3325.230 Safari/537.36",3492.0,6,0,5,0,0,0,0,2,0,2,0,0,0,0,0,0,0,6478,1198,1284,380,1074,1656,2.2811620235443115,4.90640115737915
1217,174116,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3167.0,16,0,161,94,0,0,0,16,22,16,22,0,0,0,2,2,0,6174,50092,30926,28312,5705,0,-0.9164037108421326,-0.4280661344528198
1218,39794,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.75 Safari/537.36",1113.0,3,0,15,19,2,0,0,3,4,3,4,0,0,0,0,0,0,2302,2200,0,0,0,0,-2.7431178092956543,6.135269641876221
1219,270237,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3207.0,7,0,168,57,0,2,4,16,12,16,12,0,0,0,2,6,0,49532,8332,7067,57266,333,0,-2.7292160987854004,3.3633904457092285
1220,127477,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:61.0) Gecko/20100101 Firefox/61.0,3721.0,11,0,11,8,3,2,0,4,2,4,2,0,0,0,0,0,0,22700,14767,30333,34966,6600,15250,0.1656583696603775,-2.382901191711426
1221,63430,"Mozilla/5.0 (X11; CrOS x86_64 10575.58.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",2418.0,3,0,42,55,0,0,0,4,6,4,6,0,0,0,0,0,0,14300,31318,4467,1050,0,0,2.981710910797119,2.0727336406707764
1222,217033,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2896.0,5,0,176,59,16,2,6,11,14,11,14,0,0,0,2,2,0,7200,62832,83746,42631,0,0,-2.645123243331909,-0.6209242343902588
1223,743455,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",3582.0,6,0,222,49,0,2,0,14,4,14,4,0,0,0,2,6,0,24359,5135,19168,52014,1168,486,-4.497572422027588,4.488038539886475
1224,606650,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3300.0,6,0,130,67,19,4,2,26,24,26,24,0,0,0,2,2,0,3434,29148,53061,61474,353,0,-4.068095684051514,3.103285551071167
1225,71812,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3503.0,5,0,68,28,24,2,0,7,6,7,6,0,1,0,2,2,0,235,18002,10806,14461,1002,182,-1.2780886888504028,-1.248361349105835
1226,99106,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3098.0,7,0,46,32,0,0,0,6,6,6,6,0,0,0,4,2,0,150,416,20033,35930,51,0,-2.650545120239258,-4.195141315460205
1227,1442590,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",2495.0,3,0,159,83,3,12,2,49,40,49,40,0,1,1,6,6,1,8584,1381292,48816,434,0,0,5.667687892913818,0.09906729310750961
1228,35616879,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15",3728.0,14,0,100,64,11,2,8,16,20,16,20,0,0,0,2,6,0,2521,2122982,20529,28364,5887,33391992,1.0011060237884521,10.003047943115234
1229,7472,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_5) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.1 Safari/605.1.15",3745.0,11,0,2,0,0,2,0,2,0,2,0,0,0,0,0,0,0,111,262,2048,357,1508,1061,0.1738700419664383,5.362187385559082
1230,93720,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36",3685.0,5,0,100,79,0,0,2,8,8,8,8,0,0,0,2,2,0,14712,19146,20513,36175,2035,373,0.33037427067756653,-3.630035877227783
1231,246875,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3241.0,6,0,82,30,7,4,2,14,12,14,12,0,2,0,4,6,0,83,7816,12483,72147,2799,0,-4.49137544631958,2.1189093589782715
1232,117530,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36",3301.0,7,0,149,79,0,0,0,14,16,14,16,0,0,0,6,2,0,265,22493,15917,19157,550,0,-1.676363229751587,-0.8706169128417969
