,timeOnPage,maxDepth,isInTune,clean,playRiff,playReference,autotuneGuitar,playNotes,playBeats,beatDiff,vizMode,guitarState,currentFrequency,targetString,timeSect0,timeSect1,timeSect2,timeSect3,timeSect4,timeSect5,timeSect6,timeSect7,timeSect8,timeSect9,timeSect10,timeSect11,timeSect12,timeSect13,x,y
37,199872,8816,11,4,0,2,4,12,38,286,1,7,152,69,117,52,53083,3159,18681,13831,2199,235,50,4119,28821,58447,8957,0,0.833319872,1.141161273
38,17163,557,0,0,0,0,0,0,0,0,0,0,39,31,1600,15154,0,0,0,0,0,0,0,0,0,0,0,0,-0.680333618,-6.830394158
39,55287,7762,0,1,0,2,2,0,0,0,0,5,70,46,20555,2168,14407,2168,4953,4068,3102,1418,451,1129,449,52,0,0,-1.984971131,-3.493470474
40,34167,5926.399902,0,1,0,2,2,0,0,0,0,3,0,0,0,0,599,7094,6187,12576,468,4952,2117,85,0,0,0,0,-1.694502512,-0.176488169
41,13160,3837,0,0,0,0,0,0,0,0,0,3,8,7,65,3100,967,751,4869,2930,0,0,0,0,0,0,0,0,-1.278461766,-0.737447446
42,100402,6738.666504,0,0,0,1,0,0,0,0,0,5,6,5,164,1648,3868,768,1466,2050,672,378,150,368,518,0,0,0,-4.370037638,-1.728721829
43,50046,10209,0,1,0,2,2,0,0,0,0,5,6,5,216,3010,7656,600,6076,2080,1470,1490,580,2996,6884,4600,1600,2550,-1.362003512,0.556044531
44,79692,328,0,0,0,0,0,0,0,0,0,0,5,4,105,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.048183719,-3.805981045
45,2290236,7420,0,1,0,4,2,0,0,0,0,9,64,57,2183565,16769,2501,1172,256,771,111,70,23,82,348,218,0,0,-4.431424796,-6.589862505
46,153569,7125,0,1,0,2,2,0,0,0,0,4,173,78,3735,3936,124389,8839,2968,2651,2634,350,1635,150,1150,0,0,0,2.644621135,-5.80020704
47,32657,1279,0,0,0,0,0,0,0,0,0,1,45,32,682,12462,86,0,0,0,0,0,0,0,0,0,0,0,-3.117855242,-4.630414884
48,25962,4332,0,0,0,0,0,0,0,0,0,4,21,9,182,1768,16050,238,3328,1784,1384,0,0,0,0,0,0,0,1.993372362,-3.283276755
49,114002,8127,0,1,0,2,2,0,0,0,0,5,6,5,3904,9004,7336,5334,10456,8452,1786,2536,11486,10252,38582,4188,0,0,-0.006077959,2.510654517
50,26614,5200,0,0,0,0,0,0,0,0,0,4,8,7,215,517,683,2934,3017,1726,893,1035,0,0,0,0,0,0,-3.070702979,-0.0469703
51,17189,1291,0,0,0,0,0,0,0,0,0,0,0,0,1562,6327,4968,0,0,0,0,0,0,0,0,0,0,0,-0.814288702,-3.988363091
52,164813,10998,5,1,0,2,2,0,0,0,0,7,86,33,1001,4579,14924,44651,7439,2222,235,970,266,1221,1001,1454,770,2556,-4.894292604,0.815314107
53,3419068,13526.5,0,7,0,6,6,12,28,0,2,13,239,151,11516,5554,7098,55426,6570,18732,7544,6472,4476,1662,17616,40632,3079980,152360,-2.383268686,5.14874743
54,37897,10897,0,1,0,2,2,0,0,0,0,5,1,0,992,5133,4067,4152,5650,3869,698,3967,668,1916,1567,3600,650,437,-1.985095503,0.471942846
55,121361,7663,0,1,0,2,2,0,0,0,0,11,75,55,393,12493,12771,2806,10712,7559,2874,2250,601,767,2579,115,0,0,-2.36794435,-1.284346032
56,54599,9478,0,1,0,2,2,0,0,0,0,5,10,7,300,5091,9274,3633,1731,2052,3472,120,1014,650,9559,1636,831,102,-0.811261669,0.900616898
57,304392,9455,0,2,0,2,2,0,4,0,0,5,153,113,757,15672,17668,1797,35827,21135,499,1789,1545,1216,6700,14976,1464,618,-2.970170381,-1.058415083
58,131040,6032,1,0,2,2,2,0,0,0,0,5,118,57,334,3802,67876,3102,26458,17314,2770,2368,984,1388,0,0,0,0,2.178089054,-1.94106011
59,145348,9423,0,3,0,6,4,6,12,45,0,9,184,117,2416,4933,30131,1768,6567,1299,551,265,784,251,8533,7732,2366,1251,-0.30886435,-0.676722287
60,177809,10420,1,1,2,2,2,0,4,0,0,5,114,41,1100,19152,74960,1200,13988,24553,666,2924,978,950,11783,20640,1363,2952,2.122860207,-0.49897734
61,36815,9733,0,1,0,2,2,0,0,0,0,5,6,6,85,2151,5584,1532,2952,1716,233,667,1782,3200,1601,3401,2300,1269,-2.268612875,0.579003305
62,366609,9159,5,2,2,2,2,10,6,0,0,9,231,71,870,29509,82194,21012,26110,25865,5528,90671,2912,1650,59467,17354,2324,0,0.573924813,0.35641075
63,122372,9999.396484,0,1,0,2,2,0,0,0,0,5,32,24,32,750,12771,2811,1358,82195,1587,870,771,5366,417,3452,398,1368,-1.695666953,1.461934179
64,74604,10186,0,1,0,2,2,0,0,0,0,5,19,6,173,2067,15333,116,4882,3384,99,1369,119,415,137,412,184,167,-0.606378493,-1.208775669
65,188076,10511,0,1,0,2,2,0,0,0,0,5,9,8,526,5924,19090,1168,8836,8018,726,2810,1552,1914,3396,3102,1320,2854,-3.57327801,-1.404411836
66,43745,5575,0,0,0,2,2,0,0,0,0,7,8,6,632,2303,14629,4903,4590,7152,3624,1914,619,0,0,0,0,0,0.427600818,-1.277692998
67,95943,11812,0,1,0,2,2,0,0,0,0,5,15,9,318,2917,569,7737,2636,3035,7858,99,602,749,1985,2701,818,5171,-4.146967802,-0.583962109
68,9987,3400,0,0,0,0,0,0,0,0,0,3,0,0,209,4125,2419,233,1417,94,0,0,0,0,0,0,0,0,-1.971997931,-2.926568109
69,145836,8280,0,1,0,2,2,0,0,0,0,15,24,12,1354,4286,30644,6077,16655,49996,1510,468,2892,3564,11039,4950,0,0,-0.007346858,0.368040423
70,48460,7681,0,1,0,2,2,0,0,0,0,5,42,13,202,969,36227,734,1804,735,149,580,63,521,1502,88,0,0,2.12406119,-4.66346891
71,13011,1834,0,0,0,0,0,0,0,0,0,1,87,69,1183,9007,917,334,0,0,0,0,0,0,0,0,0,0,-1.525508738,-6.101398986
72,112101,10169,0,1,0,2,2,0,0,0,0,5,6,6,764,2967,5950,4652,6782,6282,3533,2566,737,10115,11783,25132,8134,6968,-1.241712393,2.358007768
73,50878,6327,0,1,0,2,2,0,0,0,0,5,6,6,8265,2799,5132,2094,7271,7000,2718,11105,564,1919,79,0,0,0,-1.133234584,-0.389057804
74,6386,951,0,0,0,0,0,0,0,0,0,1,9,6,74,2308,0,0,0,0,0,0,0,0,0,0,0,0,-2.54986352,-3.858075074
75,5140,9800,0,1,0,2,2,0,0,0,0,2,6,6,0,0,0,406,520,412,415,479,49,1167,411,355,409,480,-4.441027372,4.63421177
76,5704,5527,0,0,0,0,0,0,0,0,0,4,6,6,148,292,968,934,858,861,99,768,50,0,0,0,0,0,-4.356023852,3.037555007
77,96384,5369,1,0,0,1,0,0,0,0,0,5,75,18,733,4001,70393,1917,5901,1450,2618,2050,74,0,0,0,0,0,3.60401264,-4.92241008
78,45120,1767,0,0,0,0,0,0,0,0,0,1,45,21,1418,17982,21636,368,0,0,0,0,0,0,0,0,0,0,-0.191184587,-4.683738777
79,184890,10328,5,3,2,4,4,10,6,0,0,5,121,39,366,250,57842,362,11020,21732,3082,688,1406,31228,24014,21784,5774,3944,2.101362397,1.074727974
80,196731,1508.800049,0,0,0,0,0,0,0,0,0,1,93,67,1388,168425,2552,0,0,0,0,0,0,0,0,0,0,0,-1.200329474,-7.440828096
81,4943,1496.800049,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4931,0,0,0,0,0,0,0,0,0,0,0,0.61104512,-4.89130207
82,131643,3072,1,0,2,0,0,0,0,0,0,3,110,37,803,4208,97373,19495,2540,0,0,0,0,0,0,0,0,0,2.144563653,-5.025396137
83,278520,8663.200195,11,3,0,2,2,2,4,0,4,2,287,80,0,0,0,0,0,27688,1398,3602,114574,667,18034,15916,96630,0,1.403994146,1.193674347
84,98663,10086,0,1,0,2,2,0,0,0,0,5,6,6,1400,4084,4182,2628,8997,10359,5794,1022,3342,965,23100,20594,3458,5325,-0.67349703,2.594355898
85,61376,9364,0,1,0,2,2,0,0,0,0,7,6,6,64,5400,3276,752,10466,4094,1158,2480,1070,1546,16166,12034,486,130,-0.678156109,2.685298497
86,100946,5499,0,1,0,2,2,0,0,0,0,5,132,74,217,19416,48417,1367,2932,5033,68,766,651,0,0,0,0,0,0.754556256,-3.558826726
87,2078,400,0,0,0,0,0,0,0,0,0,0,1,0,347,417,0,0,0,0,0,0,0,0,0,0,0,0,-3.136374568,-2.928037152
88,833758,7714,0,1,0,2,2,0,0,0,0,5,6,5,185,799,2218,949,2885,1020,545,517,468,172,1543,106,0,0,-6.802301066,-2.723117734
89,26902,3624,0,0,0,0,0,0,0,0,0,3,20,7,308,3096,18169,484,1988,1831,0,0,0,0,0,0,0,0,2.353082743,-3.979652411
90,25325,111,0,0,0,0,0,0,0,0,0,0,25,11,13356,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.463302289,-4.532132332
91,194435,9006,5,1,2,2,2,0,0,0,0,5,158,53,1222,16589,88090,14903,12838,32513,349,1806,1265,2784,2968,6857,1541,0,1.567055822,-1.545423963
92,48986,2052,0,0,0,0,0,0,0,0,0,1,263,90,180,1204,4188,41816,0,0,0,0,0,0,0,0,0,0,3.509314113,2.394357258
93,46975,9249,0,1,0,4,4,0,0,0,0,8,12,11,171,4546,1774,2383,3981,5385,2225,5415,204,4510,7425,5191,1496,624,-1.425987197,1.137912665
94,45094,9458,0,1,0,2,4,0,0,0,0,5,64,40,99,2817,15017,133,5650,12685,1715,1516,517,1650,1551,249,634,350,0.445190202,-0.683081878
95,115676,10192,0,2,0,2,8,0,0,0,0,5,123,107,382,2816,2182,27994,1470,16384,1094,1998,1070,14046,1748,2102,10848,24818,-4.953773068,2.075184619
96,35890,9673,0,1,0,2,2,0,0,0,0,5,6,6,1684,3184,1484,801,2585,5505,901,533,200,717,2703,9740,4404,150,-1.697927254,2.629201458
97,8841,4198,0,0,0,0,0,0,0,0,0,3,0,0,399,667,1601,1202,2906,569,0,0,0,0,0,0,0,0,-2.477045727,0.289121241
98,87644,7772,0,1,0,2,2,0,0,0,0,5,115,78,69,2233,19655,1967,3181,16251,66,3266,166,1021,1611,186,0,0,-0.057175831,-0.479112654
99,6185707,10785,0,3,0,6,6,4,0,0,0,13,64,53,275761,2935,2077,1637,5438,18459,1399,2135,1602,4504,4104,42580,778,1508,-5.318027116,-4.244272384
100,7411,10784,0,1,0,2,2,0,0,0,0,5,7,6,17,66,47,37,117,117,32,51,16,34,149,98,63,6480,-3.051955554,4.929354722
101,10716,4064,0,0,0,0,0,0,0,0,0,4,10,6,207,677,1395,207,2224,4905,0,0,0,0,0,0,0,0,-1.644320879,0.879928119
102,3474,10347,0,1,0,2,2,0,0,0,0,5,6,6,73,50,59,67,116,270,52,29,38,51,111,233,851,168,-4.112815885,5.159675768
103,39005,8099,0,1,0,2,2,0,0,0,0,5,39,30,703,517,968,6679,1219,8379,636,383,450,2021,2070,668,0,0,-3.037098254,0.70492405
104,271723,10920,9,3,2,2,4,10,6,0,5,5,296,102,878,2668,517,67349,12777,8672,16480,766,2752,3670,87148,4069,12760,49420,-5.321577764,2.889615891
105,33053,5074,0,0,0,1,0,0,0,0,0,4,30,29,1714,1751,3889,4382,6321,9521,1766,718,0,0,0,0,0,0,-1.313580389,-0.155653258
106,15771,1453,0,0,0,0,0,0,0,0,0,1,62,23,167,9816,734,0,0,0,0,0,0,0,0,0,0,0,-2.049556398,-5.852810681
107,140104,9402,0,3,0,2,2,4,6,0,0,5,28,23,136,3187,24655,1948,5517,5209,3624,182,6083,782,22132,15539,2064,68,0.206085071,1.127687134
108,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.827657648,0.434150807
109,364298,10216,5,5,2,2,8,26,24,0,3,5,575,306,166,1650,53000,98338,13586,7374,476,106114,2520,11932,22146,13436,3866,29204,-0.206148473,0.33643536
110,13506,5209,0,0,0,2,2,0,0,0,0,4,2,2,132,1033,5586,1366,1549,1683,615,1387,0,0,0,0,0,0,-0.889032806,-1.427298468
